IDIMOVEL;01/08/2019;01/09/2019;01/10/2019;01/11/2019;01/12/2019;01/01/2020
21845334;3840;960;0;3840;3840;0
21845399;0;0;400;976;1750;4850
21845787;0;0;0;7290;4740;4230
21846275;90;2680;2410;1470;3405;5773
21846359;0;0;0;0;1040;1080
31240943;1120;120;0;0;455;0
31240956;0;0;0;0;7630;16220
31241161;0;0;0;0;6380;14770
31242632;0;0;0;0;0;0
31246464;0;0;0;120;220;0
31248579;1400;840;0;1235;6790;11510
31249089;1982;2890;1190;0;4850;14200
31249208;1510;2328;4200;5740;12960;12340
31249279;0;0;0;1500;13250;19300
31249834;0;0;0;660;4670;9930
31249861;0;0;0;0;3864;9320
31568131;0;0;0;3168;852;2482
31568313;0;0;0;0;2960;5050
32300245;0;0;0;396;796;838
32300446;99;0;0;198;796;1034
32982749;0;0;0;0;0;0
32987549;370;74;222;1615;2556;1090
32989438;96;0;0;0;0;731
32991670;0;0;0;0;0;0
32992643;0;0;0;2000;10960;30820
32993183;276;276;598;1848;1280;160
32993627;6440;6210;5520;4937;9860;12750
32994399;0;0;0;0;0;0
33003745;100;300;0;830;1850;80
33009002;0;120;560;636;1795;2070
33010577;0;0;0;0;0;0
33018306;318;138;309;1019;636;0
33019368;0;0;0;550;2884;6915
33031958;1224;1296;438;1117;6958;3960
33042060;0;1360;2635;120;4435;6750
33061631;5281;2169;0;4809;11467;13110
33065537;120;0;840;1140;2310;5650
33071382;0;828;7866;0;0;0
33074125;0;360;3060;0;897;2532
33075194;0;150;825;0;360;0
33075222;650;50;350;560;1280;2855
33080395;0;0;0;1515;4950;9058
33086476;2070;260;2736;3213;1237;3420
33087209;789;0;0;1940;6320;3270
33089863;340;272;1976;2542;5644;9428
33090580;1690;390;0;260;910;0
33092756;0;45;0;0;0;0
33093306;1035;650;570;2142;4651;5674
33093565;1035;0;1482;2618;1641;2632
33093723;1150;390;1644;2002;4237;5526
