IDIMOVEL;01/08/2019;01/09/2019;01/10/2019;01/11/2019;01/12/2019;01/01/2020
16919458;0;0;0;0;5;11
16920145;13;16;14;0;12;0
16920344;0;0;0;0;9;10
16929097;3;10;10;12;23;26
16929467;0;0;0;0;0;9
21834270;0;0;0;2;4;18
21834347;0;8;14;18;19;31
21835169;0;0;31;24;18;31
21835863;0;0;0;0;6;1
21836079;11;3;0;0;12;26
21836409;0;0;0;2;15;16
21837085;0;0;0;0;6;24
21837110;14;4;0;14;5;0
21838229;0;1;0;0;6;25
21838238;5;8;5;13;9;29
21838936;2;0;0;6;17;14
21843070;18;16;30;29;30;0
21843363;0;0;0;0;24;18
21843554;0;0;0;0;0;26
21843711;0;0;0;0;7;6
21845254;8;6;30;28;30;31
21845334;12;3;0;12;12;0
21845399;0;0;2;5;5;19
21845787;0;0;0;27;17;17
21846275;1;29;28;15;22;28
21846359;0;0;0;0;4;4
31240943;28;3;0;0;11;0
31240956;0;0;0;0;18;26
31241161;0;0;0;0;14;31
31242632;0;0;0;0;0;0
31246464;0;0;0;2;2;0
31248579;5;3;0;3;16;29
31249089;19;17;7;0;12;31
31249208;7;17;31;21;27;23
31249279;0;0;0;3;20;30
31249834;0;0;0;2;14;25
31249861;0;0;0;0;12;31
31568131;0;0;0;18;4;12
31568313;0;0;0;0;14;31
32300245;0;0;0;4;4;6
32300446;1;0;0;2;4;6
32982749;0;0;0;0;0;0
32987549;5;1;3;19;27;9
32989438;2;0;0;0;0;17
32991670;0;0;0;0;0;0
32992643;0;0;0;4;20;31
32993183;6;6;13;29;16;2
32993627;28;27;24;21;29;28
32994399;0;0;0;0;0;0
33003745;2;6;0;18;28;1
33009002;0;2;11;13;24;31
33010577;0;0;0;0;0;0
33018306;6;2;5;19;12;0
33019368;0;0;0;2;15;31
33031958;17;18;6;12;14;11
33042060;0;16;31;1;29;27
33061631;22;9;0;20;26;29
33065537;1;0;7;9;14;27
33071382;0;2;19;0;0;0
33074125;0;2;17;0;3;12
33075194;0;2;11;0;4;0
33075222;13;1;7;8;12;27
33080395;0;0;0;14;20;24
33086476;18;2;24;27;10;18
33087209;7;0;0;16;19;9
33089863;5;4;29;23;24;23
33090580;13;3;0;2;7;0
33092756;0;1;0;0;0;0
33093306;9;5;5;18;29;27
33093565;9;0;13;22;13;14
33093723;10;3;12;14;23;28
